artist_name,track_name,album_name,is_explicit,genres,release_date,track_id,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
"Beyoncé, Kelly Rowland, Michelle Williams",Say My Name (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,1q0xjWLQOnAbfQa3XzhyYc,0.491,0.303,0.666,-7.338,0.028,0.0,0.503,0.111,5,138.672,0,111769,4
"Beyoncé, Kelly Rowland, Michelle Williams",Soldier (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,2PEtWLQmzJuGzQFkkZIdP3,0.472,0.475,0.821,-8.333,0.013,0.0,0.846,0.55,8,155.176,1,131185,4
Beyoncé,Get Me Bodied - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,7Bd6JQ2Evmeuw4cPYUtcEz,0.822,0.396,0.935,-7.741,0.011,0.0,0.379,0.345,11,97.018,0,263009,4
Beyoncé,Single Ladies (Put a Ring on It) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,071lw34NhXIV26mskQZ4MB,0.639,0.572,0.93,-6.626,0.00563,0.0,0.956,0.171,6,96.94,0,207209,4
"Beyoncé, Blue Ivy",Lift Ev'ry Voice and Sing (feat. Blue Ivy) - Blue's Version - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,7uro2suZC8IiPIcTSiqhRQ,0.564,0.433,0.424,-20.285,0.963,7.37e-06,0.697,0.94,1,97.708,1,102412,5
Beyoncé,Love On Top - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,7idYtPogV73zodBoWqvxkf,0.318,0.184,0.855,-8.415,0.0515,0.0,0.897,0.628,7,175.555,1,227216,4
Beyoncé,Shining (Thank You) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,74ADo1aVXYrzDDwwNcENns,0.626,0.475,0.928,-9.326,0.00282,0.000363,0.941,0.124,2,104.912,0,159116,4
Beyoncé,Before I Let Go - Homecoming Live Bonus Track,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,7LikBkHerFGZ58QHVOKp1t,0.71,0.435,0.842,-5.424,0.0686,0.0,0.337,0.0944,6,102.994,0,240777,4
Beyoncé,I Been On - Homecoming Live Bonus Track,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,4M0zSSz4blcDv8g4apuVfJ,0.656,0.196,0.741,-6.413,0.0134,0.000468,0.269,0.0555,5,95.326,0,144661,4
Beyoncé,Pray You Catch Me,Lemonade,False,"pop, r&b",2016-04-23,7rLDARtJALM7QdiJDMXW7m,0.25,0.0746,0.215,-13.676,0.632,0.0717,0.401,0.037,8,174.824,0,195987,3
Beyoncé,Hold Up,Lemonade,True,"pop, r&b",2016-04-23,0rzNMzZsubFcXSEh7dnem7,0.524,0.552,0.397,-11.936,0.745,0.0,0.521,0.405,0,80.744,1,221093,4
"Beyoncé, Jack White",Don't Hurt Yourself (feat. Jack White),Lemonade,True,"pop, r&b",2016-04-23,78eouBKVRyhbSzJwChr6QM,0.614,0.645,0.686,-6.483,0.0105,1.36e-06,0.184,0.21,9,136.537,0,233667,4
Beyoncé,Sorry,Lemonade,True,"pop, r&b",2016-04-23,0lnIJmgcUpEpe4AZACjayW,0.775,0.356,0.598,-7.274,0.00175,4.44e-06,0.253,0.0535,2,129.988,1,232560,4
"Beyoncé, The Weeknd",6 Inch (feat. The Weeknd),Lemonade,True,"pop, r&b",2016-04-23,0pxNyJJiL2zZZ5GgJ4JhsQ,0.516,0.324,0.637,-8.832,0.0433,3.89e-06,0.11,0.0632,6,138.011,1,260440,4
Beyoncé,Daddy Lessons,Lemonade,False,"pop, r&b",2016-04-23,71OvX5NNLrmz7rpq1ANTQn,0.643,0.598,0.503,-8.37,0.273,0.0,0.349,0.216,7,90.886,1,287987,4
Beyoncé,Love Drought,Lemonade,False,"pop, r&b",2016-04-23,2RQAG0wQt35UzAPEyVJFWN,0.455,0.216,0.535,-10.602,0.0209,0.64,0.126,0.0426,9,157.01,0,237440,4
Beyoncé,Sandcastles,Lemonade,True,"pop, r&b",2016-04-23,2FNPJWVdGxYhWaotd6rULS,0.33,0.101,0.357,-10.171,0.866,1.76e-05,0.19,0.0348,10,84.119,1,182720,3
"Beyoncé, James Blake",Forward (feat. James Blake),Lemonade,False,"pop, r&b",2016-04-23,2bOWJIYSbhwg2NMQq1QMYH,0.387,0.0498,0.133,-15.633,0.947,0.0591,0.107,0.0474,7,124.397,0,79200,4
"Beyoncé, Kendrick Lamar",Freedom (feat. Kendrick Lamar),Lemonade,False,"pop, r&b",2016-04-23,7aBxcRw77817BrkdPChAGY,0.437,0.406,0.803,-6.412,0.0376,0.0,0.683,0.305,2,84.378,1,289760,4
Beyoncé,All Night,Lemonade,False,"pop, r&b",2016-04-23,7oAuqs6akGnPU3Tb00ZmyM,0.574,0.626,0.573,-7.079,0.392,2.16e-05,0.0933,0.085,11,136.304,1,322000,4
Beyoncé,Formation,Lemonade,True,"pop, r&b",2016-04-23,6g0Orsxv6glTJCt4cHsRsQ,0.896,0.818,0.621,-6.857,0.00532,0.0,0.196,0.237,5,121.966,0,206080,4
Beyoncé,Sorry - Original Demo,Lemonade,True,"pop, r&b",2016-04-23,6eR1N0EBHiDkGDzegX99d3,0.546,0.421,0.26,-12.573,0.942,5.09e-06,0.128,0.125,1,155.033,1,204400,4
